RECORD #	qid	LANG	245|abnp	full_location	publisher_text	P123	Dates	subj_text	author_cleaned	P50
b17203685		eng	What does a kiss mean? : the love comic formula and the creation of the ideal teen-age girl	Q1397			1972	Romance Comic books, strips, etc. History and criticism; Comic books, strips, etc. History and criticism	Philippe Perebinosoff	
										
b117930982		eng	Gronk / Hero Cats FCBD	Q1397	Action Lab Entertainment, Inc.	Q4677113	2015	Funny horror Comic books, strips, etc; Funny animal Comic books, strips, etc		
										
b119439815		eng	Dada comik	Q1397	Bruce Chrislip		1991	New wave Comic books, strips, etc	Bruce Chrislip	
b17086231		eng	Hans und Fritz	Q163132	Saalfield Publishing	Q7395636	1923	Funny kid Comic books, strips, etc	Rudolph Dirks	
b16930472		eng	Mickey Mouse coloring book	Q163132	Saalfield Publishing	Q7395636	1931	Funny animal Comic books, strips, etc; Coloring books		
										
b42042951		eng	The adventures of Little Annie Rooney	Q163132	Saalfield Publishing	Q7395636	1934	Adventure story Comic books, strips, etc	Brandon Walsh	
b113350776		eng	The adventures of Tom Sawyer	Q163132	Saalfield Publishing	Q7395636	1934	Adventure story Comic books, strips, etc	Mark Twain	
b16939888		eng	The adventures of Pete the tramp : adapted from the newspaper comic strip	Q163132	Saalfield Publishing	Q7395636	1935	Tramps	Clarence D. Russell	
b23542895		eng	Little Jimmy's gold hunt : adapted from the famous newspaper strip	Q163132	Saalfield Publishing	Q7395636	1935	Funny kid Comic books, strips, etc; Western comic books, strips, etc	Jimmy Swinnerton	
										
b113213049		eng	Barney Google	Q163132	Saalfield Publishing	Q7395636	1935	Adventure story Comic books, strips, etc	Billy DeBeck	
b11334885x		eng	Little Lord Fauntleroy	Q163132	Saalfield Publishing	Q7395636	1936	Grandfathers Fiction; Funny kid Comic books, strips, etc; England Fiction	Frances Eliza Hodgson Burnett	
										
										
b113351112		eng	Popeye starring in choose your weppins	Q163132	Saalfield Publishing	Q7395636	1936	Adventure story Comic books, strips, etc	E. C. Segar	
b16937132		eng	Napoleon and Uncle Elby : adapted from the famous newspaper comic strip	Q163132	Saalfield Publishing	Q7395636	1938	Funny animal Comic books, strips, etc	Clifford McBride	
b17183807		eng	Doomed to die : a Cap Hank story	Q163132	Saalfield Publishing	Q7395636	1938	Adventure story Comic books, strips, etc	Charles T Clinton	
b1718423x		eng	Bandits at bay : a Cap Hank story	Q163132	Saalfield Publishing	Q7395636	1938	Adventure story Comic books, strips, etc	Charles T Clinton	
b113227243		eng	Desert justice : a Kid Wolf story	Q163132	Saalfield Publishing	Q7395636	1938	Western comic books, strips, etc	Paul S. Powers	
b127672953		eng	Spook riders on the Overland : a Freckles Malone story	Q163132	Saalfield Publishing	Q7395636	1938	Western comic books, strips, etc	Paul S. Powers	
b102641663		eng	Rangers on the Rio Grande : a Texas Ranger story	Q163132	Saalfield Publishing	Q7395636	1938	Western comic books, strips, etc	Mark Millis	
b17184228		eng	Son of mystery : an adventure story	Q163132	Saalfield Publishing	Q7395636	1939	Adventure story Comic books, strips, etc	Mark Millis	
b17184319		eng	Boss of the Chisholm Trail : a Flame Burns story	Q163132	Saalfield Publishing	Q7395636	1939	Western comic books, strips, etc	Guy L Maynard	
b17184332		eng	Billy the kid on Tall Butte	Q163132	Saalfield Publishing	Q7395636	1939	Western comic books, strips, etc	Robert Marshall	
b102641687		eng	Johnny forty-five : a western	Q163132	Saalfield Publishing	Q7395636	1939	Western comic books, strips, etc	Andrew Griffin	
b102641705		eng	Tracked by a G-man : a railroad mystery	Q163132	Saalfield Publishing	Q7395636	1939	Detective and mystery comic books, strips, etc	Dick Adair	
b102876812		eng	Gulliver's travels	Q163132	Saalfield Publishing	Q7395636	1939	Adventure story Comic books, strips, etc	Charles C Taylor	
b17184265		eng	A G-Man in action	Q163132	Saalfield Publishing	Q7395636	1940	Detective and mystery comic books, strips, etc	Dick Adair	
b56915287		eng	Up Dead Horse Canyon : a Pete Rice story	Q163132	Saalfield Publishing	Q7395636	1940	Western comic books, strips, etc	Austin Gridley	
b102876757		eng	Jim Hardy, ace reporter : adapted from the famous newspaper comic strip	Q163132	Saalfield Publishing	Q7395636	1940	Adventure story Comic books, strips, etc	Dick Moores	
b111166329		eng	Just kids and Deep-Sea Dan	Q163132	Saalfield Publishing	Q7395636	1940	Adventure story Comic books, strips, etc	Ad Carter	
b111380558		eng	Inspector Wade and the feathered serpent	Q163132	Saalfield Publishing	Q7395636	1940	Detective and mystery comic books, strips, etc		
b113354058		eng	Inspector Wade of Scotland Yard	Q163132	Saalfield Publishing	Q7395636	1940	Detective and mystery comic books, strips, etc		
b17358061		eng	Little Orphan Annie : a book to color : Annie and Sandy greet all junior commandos	Q163132	Saalfield Publishing	Q7395636	1943	World War, 1939-1945 United States Comic books, strips, etc		
b5683102x		eng	Roly poly comic book	Q163132	Green Publishing Company	Q109091361	1945	Superheroes		
b12100238x		eng	Vic Verity magazine	Q163132	Vic Verity Publications		1945	Adventure story Comic books, strips, etc		
b12017127		eng	Smilin' Jack coloring book	Q163132	Saalfield Publishing	Q7395636	1946	Adventure story Comic books, strips, etc; Aeronautics; Coloring books	Zack Mosley	
										
										
b16629954		eng	Smilin' Jack coloring book	Q163132	Saalfield Publishing	Q7395636	1946	Aeronautics; Coloring books	Zack Mosley	
										
b23725825		eng	Terry and the pirates coloring book	Q163132	Saalfield Publishing	Q7395636	1946	Coloring books; Adventure story Comic books, strips, etc. Miscellanea		
										
b29741634		eng	Bobby comics	Q163132	Universal Phoenix Features Syndicate		1946	Funny kid Comic books, strips, etc		
b32519357		eng	Wonder book of rubber	Q163132	Goodrich Corporation	Q1537591	1947	Rubber industry and trade; Rubber; Educational Comic books, strips, etc; Advertising; Educational comics		
										
										
										
										
b2270307x		eng	Steve Canyon coloring book	Q163132	Saalfield Publishing	Q7395636	1952	Korean War, 1950-1953; Spy Comic books, strips, etc; Coloring books		
										
										
b73602668		eng	Tom Corbett space cadet coloring book	Q163132	Saalfield Publishing	Q7395636	1953	Coloring books; Science fiction comic books, strips, etc		
										
b31530175		eng	Tommy looks at farming	Q163132	Goodrich Corporation	Q1537591	1961	Agriculture; Agriculture Vocational guidance Comic books, strips, etc; Educational Comic books, strips, etc; Educational comics		
										
										
										
b32519345		eng	Wonder book of rubber	Q163132	Goodrich Corporation	Q1537591	1962	Rubber industry and trade; Rubber; Educational Comic books, strips, etc; Advertising; Educational comics		
										
										
										
										
b1042183x		eng	Wonder book of rubber	Q163132	Goodrich Corporation	Q1537591	1964	Rubber Comic books, books, strips, etc; Rubber industry and trade; Educational Comic books, strips, etc; Educational comics	B.F. Goodrich Company	
										
										
										
b36807540		eng	Tommy gets the keys : a guide to better driving	Q163132	Goodrich Corporation	Q1537591	1967	Automobile driving; Traffic safety; Educational Comic books, strips, etc; Educational comics		
										
										
										
b11138073x		eng	Wonder book of rubber	Q163132	B. F. Goodrich	Q1537591	1967	Rubber Comic books, books, strips, etc; Rubber industry and trade; Educational Comic books, strips, etc; Educational comics		
										
										
										
b18224647		eng	Winthrop : a strip coloring book	Q163132	Saalfield Publishing	Q7395636	1968	Funny kid Comic books, strips, etc; Coloring books	Dick Cavalli	Q21151672
										
b1825696x		eng	Tiger : a strip book	Q163132	Saalfield Publishing	Q7395636	1968	Funny kid Comic books, strips, etc	Bud Blake	Q324371
b19167647		eng	Redeye : a strip book	Q163132	Saalfield Publishing	Q7395636	1968	Western comic books, strips, etc; Indians of North America Caricatures and cartoons; Indians of North America	Gordon Bess	
										
										
b19167829		eng	Beetle Bailey : a strip book	Q163132	Saalfield Publishing	Q7395636	1968	Funny military Comic books, strips, etc	Addison Mort Walker	Q719973
b98950265		eng	Jubilee	Q163132	Sonday Funnies		1974	Alternative Comic books, strips, etc		
b21762338		eng	Buce n Gar	Q163132	R.A.K. Graphics		1986	Science fiction comic books, strips, etc		
b6696779x		eng	ThunderMace comics	Q163132	R.A.K. Graphics		1986	Fantasy; Fantasy comic books, strips, etc		
										
b53115272		eng	Stephen Darklord comics	Q163132	R.A.K. Graphics		1987	Science fiction comic books, strips, etc		
b118732705		eng	Dragon of the Valkyr : the first book of the Valkyr	Q163132	RAK Comics Group		1988	Fantasy; Fantasy comic books, strips, etc		
										
b23663844		eng	Thundermace, the telling of the legend. Book 1 : a graphic novel	Q163132	R.A.K. Graphics		1989	Sword and sorcery Comic books, strips, etc	Robert Kraus	
